
[xA, yA, xB, yB]
[390, 59, 479, 237]
[390, 59, 478, 235]
[391, 60, 479, 235]
[389, 57, 479, 236]
[389, 60, 478, 238]
[389, 61, 476, 236]
[386, 57, 476, 238]
[387, 58, 477, 238]
[388, 60, 477, 238]
[388, 65, 476, 241]
[387, 62, 476, 240]
[382, 47, 479, 241]
[385, 65, 475, 246]
[386, 67, 475, 244]
[385, 67, 475, 246]
[381, 46, 481, 245]
[383, 72, 470, 246]
[381, 74, 469, 250]
[381, 76, 468, 251]
[382, 78, 468, 250]
[382, 80, 468, 252]
[376, 72, 469, 258]
[371, 64, 469, 260]
[367, 58, 471, 265]
[367, 58, 471, 266]
[363, 50, 473, 271]
[365, 52, 473, 268]
[368, 68, 468, 267]
[368, 68, 468, 268]
[367, 66, 468, 268]
[366, 64, 469, 270]
[365, 67, 469, 275]
[361, 65, 467, 278]
[360, 65, 469, 283]
[359, 60, 471, 284]
[357, 60, 472, 290]
[358, 66, 470, 289]
[360, 74, 468, 289]
[353, 45, 478, 295]
[348, 41, 477, 298]
[352, 63, 466, 292]
[356, 73, 464, 288]
[352, 67, 466, 295]
[351, 64, 468, 297]
[352, 62, 469, 295]
[352, 64, 468, 296]
[354, 68, 469, 298]
[345, 36, 480, 305]
[345, 39, 477, 303]
[354, 69, 471, 302]
[354, 72, 471, 306]
[355, 74, 472, 307]
[347, 37, 485, 312]
[348, 37, 484, 309]
[348, 37, 484, 309]
[356, 72, 475, 309]
[347, 38, 487, 316]
[348, 41, 485, 315]
[348, 41, 485, 315]
[349, 43, 486, 316]
[348, 44, 486, 320]
[347, 41, 490, 327]
[348, 44, 486, 320]
[349, 46, 481, 310]
[347, 44, 486, 322]
[338, 36, 493, 346]
[337, 34, 494, 348]
[362, 123, 463, 325]
[341, 43, 491, 342]
[339, 38, 495, 349]
[339, 41, 495, 352]
[339, 43, 495, 355]
[339, 43, 495, 355]
[340, 42, 497, 355]
[341, 36, 499, 351]
[343, 39, 496, 345]
[335, 37, 501, 370]
[338, 41, 501, 366]
[340, 43, 499, 362]
[339, 50, 498, 368]
[335, 49, 497, 373]
[335, 49, 497, 373]
[334, 48, 496, 371]
[330, 41, 496, 374]
[327, 41, 498, 382]
[325, 36, 499, 384]
[324, 40, 500, 393]
[326, 42, 501, 392]
[322, 43, 503, 404]
[322, 42, 506, 410]
[324, 46, 504, 407]
[324, 46, 504, 407]
[320, 43, 508, 419]
[322, 46, 506, 414]
[321, 48, 508, 422]
[318, 44, 510, 429]
[321, 45, 518, 439]
[318, 42, 515, 436]
[318, 42, 515, 436]
[318, 42, 515, 436]
[318, 48, 515, 442]
[318, 48, 515, 442]
[319, 57, 507, 433]
[322, 60, 504, 425]
[317, 52, 512, 441]
[316, 57, 503, 430]
[306, 55, 503, 449]
[331, 170, 465, 436]
[306, 55, 503, 449]
[310, 52, 505, 441]
[306, 55, 503, 449]
[310, 52, 505, 441]
[340, 198, 425, 368]
[327, 182, 467, 461]
[340, 202, 419, 360]
[330, 186, 467, 459]
[340, 206, 417, 359]
[329, 188, 466, 462]
[340, 207, 418, 362]
[296, 69, 487, 451]
[333, 198, 435, 402]
[321, 203, 440, 441]
[266, 114, 406, 394]
[210, 278, 277, 412]
[171, 171, 309, 446]
[197, 126, 269, 270]
[134, 287, 211, 442]
[134, 282, 207, 428]
[134, 278, 210, 431]
[141, 262, 215, 411]
[142, 262, 215, 407]
[144, 264, 214, 404]
[150, 255, 224, 403]
[152, 254, 224, 399]
[157, 252, 224, 386]
[209, 93, 280, 235]
[78, 139, 172, 326]
[13, 160, 105, 343]
[0, 162, 97, 356]
[0, 195, 67, 328]
